,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
25005051,803.58,2006/07/12,-25.01076,-50.85385,Ivaí,M,1972.0,Inmet
25335105,1208.85,2006/10/16,-25.56788,-51.07795,Inácio Martins,M,3026.0,Inmet
26395036,799.58,2009/02/10,-26.39366,-50.36321,Major Vieira,M,3122.0,Inmet
26445135,1009.01,2008/04/10,-26.39847,-51.35367,General Carneiro,M,3221.0,Inmet
26445084,944.26,2008/03/19,-26.81916,-50.98552,Caçador,M,3117.0,Inmet
25264913,922.91,2003/01/28,-25.44869,-49.2306,Curitiba,M,2989.0,Inmet
26445015,591.67,2008/03/11,-26.93753,-50.14545,Rio do Campo,M,3119.0,Inmet
26434959,856.89,2008/03/22,-26.24841,-49.58062,Rio Negrinho,M,3120.0,Inmet
25424883,50.31,2008/03/13,-25.50894,-48.80868,Morretes,M,3166.0,Inmet
25324915,950.0,2016/05/28,-25.32246,-49.15773,Colombo,M,4705.0,Inmet
27105133,767.63,2007/09/20,-27.16927,-51.55896,Joaçaba,M,3074.0,Inmet
27285061,978.1,2008/02/29,-27.28862,-50.60428,Curitibanos,M,3118.0,Inmet
26445242,878.74,2008/03/15,-26.93867,-52.39809,Xanxerê,M,3116.0,Inmet
26445235,966.06,2008/05/15,-26.4172,-52.34874,Clevelândia,M,3439.0,Inmet
25365239,835.0,2016/08/07,-25.36894,-52.39194,Laranjeiras do Sul,M,4704.0,Inmet
26445383,654.51,2008/03/12,-26.7767,-53.50454,São Miguel do Oeste,M,2575.0,Inmet
26285363,807.54,2008/06/02,-26.28656,-53.63311,Dionísio Cerqueira,M,3083.0,Inmet
