,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26105047,0.0,1997/06/01,-26.29452,-50.89522,Foz do Timbó,H,126.0,Simepar
26005139,728.2,1998/03/06,-26.00639,-51.66754,Foz do Areia,H,380.0,Simepar
26025035,0.0,1997/06/01,-26.0333,-50.5833,Fluviopolis,H,508.0,Simepar
25555031,0.0,1997/06/01,-25.9166,-50.5166,Pontilhão,H,542.0,Simepar
25485116,0.0,1997/06/11,-25.80682,-51.22884,Madeireira Gavazzoni,H,544.0,Simepar
26025109,0.0,1997/06/01,-26.02999,-51.14149,Palmital do Meio,H,570.0,Simepar
26065150,720.0,2011/04/15,-26.0639,-51.5083,Bituruna,H,743.0,Simepar
26145103,756.53,1997/06/01,-26.22825,-51.06827,União da Vitória,M,1897.0,Simepar
26105114,0.0,1997/06/01,-26.1666,-51.2333,Porto Vitória,H,2811.0,Simepar
25525023,0.0,1997/06/01,-25.87702,-50.38755,São Mateus do Sul,H,3263.0,Simepar
26145104,749.0,1997/06/01,-26.22772,-51.08059,União da Vitória,H,3268.0,Simepar
25215130,1070.0,1997/06/01,-25.3845,-51.4935,Guarapuava,M,3349.0,Simepar
25335129,1095.0,2001/01/17,-25.5459,-51.4884,Entre Rios,M,3355.0,Simepar
25275035,893.0,1998/11/28,-25.4532,-50.5839,Fernandes Pinheiro,M,4492.0,Simepar
26355045,0.0,1997/06/01,-26.5833,-50.75,Foz do Cachoeira,H,4.0,Simepar
26055019,770.0,1997/09/17,-26.0833,-50.3166,Divisa,H,536.0,Simepar
25475206,0.0,1999/01/01,-25.7911,-52.11895,Segredo,H,567.0,Simepar
26055155,809.0,1997/05/01,-26.0833,-51.9166,Solais Novo,H,745.0,Simepar
26585152,1344.0,2019/11/20,-26.5829,-51.52019,Palmas - Horizonte,M,926.0,Simepar
25825217,607.0,2010/11/12,-26.03729,-51.98156,Coronel Domingos Soares,H,1899.0,Simepar
25385157,910.0,2003/04/08,-25.64944,-51.9625,Pinhão,M,2763.0,Simepar
26285158,1100.0,1998/04/28,-26.4682,-51.9762,Palmas,M,3486.0,Simepar
25755210,689.0,2013/01/24,-25.75922,-52.10889,Derivação do Rio Jordão,H,3727.0,Simepar
25434872,0.0,2012/05/15,-25.43083,-48.72019,SAMAE Antonina,P,93.0,Simepar
25484859,815.0,1997/06/01,-25.80797,-48.99193,Salto do Meio,H,190.0,Simepar
25314870,6.83,2018/04/10,-25.31948,-48.7073,Vila Nova,H,350.0,Simepar
25264916,935.0,1997/06/01,-25.44817,-49.23033,Curitiba,M,381.0,Simepar
25424858,709.79,1997/06/01,-25.7114,-48.9828,Guaricana,H,545.0,Simepar
25814854,51.0,2012/12/05,-25.81642,-48.54236,Matinhos Sede,P,584.0,Simepar
25574863,30.0,2012/12/13,-25.57578,-48.63814,Morro Inglês,P,747.0,Simepar
25874857,0.0,2012/10/18,-25.87381,-48.57806,Bombeiros Guaratuba,P,755.0,Simepar
25914858,8.0,2014/09/17,-25.91217,-48.58137,CCO de Guaratuba,P,756.0,Simepar
25734859,21.0,2014/05/13,-25.73044,-48.59944,Parque Águas Claras,P,841.0,Simepar
25334953,0.0,1997/06/01,-25.55,-49.8833,Porto Amazonas,H,1172.0,Simepar
25694857,305.0,2012/09/19,-25.69175,-48.57417,Posto Polícia Alexandra,P,2066.0,Simepar
25694847,0.0,2014/09/11,-25.69773,-48.47751,ETA Praia de Leste,P,2171.0,Simepar
25674845,6.0,2012/10/25,-25.67503,-48.45825,Bombeiros Pontal do Sul,P,2181.0,Simepar
25354833,23.0,2014/04/15,-25.593,-48.5611,Floresta do Palmito,P,2682.0,Simepar
25474946,909.8,1997/06/01,-25.7817,-49.7598,Lapa,M,3356.0,Simepar
25494905,851.0,1997/06/01,-25.8166,-49.0833,Vossoroca,H,3431.0,Simepar
26064948,0.0,1997/10/24,-26.1097,-49.80194,Rio Negro,H,3443.0,Simepar
25324831,0.0,1997/06/01,-25.84536,-48.58049,Guaratuba,M,3478.0,Simepar
25444869,2.0,2014/09/24,-25.44716,-48.69434,APPA Antonina,M,3487.0,Simepar
25554869,14.0,2011/12/13,-25.5563,-48.6947,Floresta,P,3656.0,Simepar
25554873,37.0,2013/12/05,-25.55444,-48.73833,Sambaqui,P,3664.0,Simepar
25254905,930.0,1998/07/10,-25.3907,-49.1299,Pinhais,M,3671.0,Simepar
25534852,19.0,2012/11/21,-25.5378,-48.5296,Paranaguá,M,3685.0,Simepar
25814881,36.0,2015/04/28,-25.81799,-48.80729,Cubatão - Copel,H,3726.0,Simepar
25134856,819.0,2000/03/21,-25.2208,-48.9395,Capivari Montante,H,250.0,Simepar
25054850,686.0,2000/03/16,-25.0881,-48.8276,Capivari Jusante,H,405.0,Simepar
25134848,60.0,1999/01/01,-25.24341,-48.75248,Antonina,M,3222.0,Simepar
25084852,758.0,1997/06/01,-25.1333,-48.8666,Capivari,H,3435.0,Simepar
25135001,888.25,1997/06/01,-25.0137,-50.1524,Ponta Grossa,M,3542.0,Simepar
24494915,366.0,1997/06/01,-24.8267,-49.2604,Cerro Azul,M,3717.0,Simepar
25184889,808.0,2012/05/10,-25.1825,-48.8981,Recanto do Maneco,H,3969.0,Simepar
25485254,430.0,2015/09/01,-25.482,-52.5422,Bela Vista Jusante,H,3433.0,Simepar
24555296,529.0,2017/08/16,-24.5545,-52.96648,Ubiratã,M,39.0,Simepar
25425241,838.0,2017/07/18,-25.42767,-52.41211,Laranjeiras do Sul,M,193.0,Simepar
25505367,274.0,2017/07/13,-25.50895,-53.67738,Baixo Iguaçu,M,410.0,Simepar
25345816,273.0,2006/05/26,-25.5832,-53.2668,Balsa Jaracatiá,H,509.0,Simepar
25315021,367.0,2010/09/02,-25.5225,-53.3558,Boa Vista da Aparecida,H,746.0,Simepar
24475343,516.4,1997/07/23,-24.7834,-53.7196,Toledo,M,3342.0,Simepar
24535333,719.3,1997/06/01,-24.8845,-53.5547,Cascavel,M,3538.0,Simepar
25465256,466.0,1997/06/01,-25.7737,-52.9329,Águas do Verê,H,3577.0,Simepar
25315329,440.0,1998/10/24,-25.52092,-53.49412,Salto Caxias,M,3708.0,Simepar
24535213,783.0,1997/06/01,-24.8644,-52.2186,Palmital,M,3715.0,Simepar
25345435,234.0,1997/06/01,-25.6154,-53.7923,Porto Capanema,H,689.0,Simepar
26075241,721.8,1997/06/01,-26.1229,-52.6514,Pato Branco,M,3360.0,Simepar
26055305,652.0,2010/09/02,-26.0593,-53.06548,Francisco Beltrão,M,3477.0,Simepar
24385115,645.0,1997/06/01,-24.6321,-51.2452,Cândido de Abreu,M,3530.0,Simepar
25435458,168.0,2017/05/09,-25.4361,-54.58286,Foz do Iguaçu - Itaipu,M,1003.0,Simepar
24235332,450.0,1999/08/19,-24.3886,-53.5411,Assis Chateaubriand,M,2306.0,Simepar
25115408,298.0,1997/06/01,-25.3528,-54.2546,São Miguel do Iguaçu,M,3552.0,Simepar
24505420,271.0,1997/07/21,-24.9168,-54.3103,Santa Helena,M,4057.0,Simepar
